Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Tiramisu,Ladyfingers,Sugar,Mascarpone cheese,"Coffee, cocoa","Dairy, Wheat",Contains,original
Cinnamon Rolls,Dough,Sugar,Butter,"Cinnamon, icing","Dairy, Wheat",Contains,original
Chicken Caesar Salad,Chicken,,Caesar dressing,"Romaine lettuce, croutons","Dairy, Wheat",Contains,original
Vegetable Lasagna,Vegetables,,Olive oil,"Tomato sauce, cheese","Dairy, Wheat",Contains,original
Chicken Alfredo Pizza,Pizza dough,,,"Chicken, Alfredo sauce","Dairy, Wheat",Contains,original
Caesar Pasta Salad,Pasta,,Caesar dressing,"Romaine lettuce, Parmesan cheese","Dairy, Wheat",Contains,original
Baked Apple,Apples,Sugar,Butter,"Cinnamon, oats","Dairy, Wheat",Contains,original
Chicken Parmesan,Chicken,,Olive oil,"Tomato sauce, cheese","Dairy, Wheat",Contains,original
Blueberry Muffins,Flour,Sugar,Butter,Blueberries,"Dairy, Wheat",Contains,original
Sausage and Pepper Pizza,Pizza dough,,,"Sausage, bell peppers","Dairy, Wheat",Contains,original
Beef Wellington,Beef,,Butter,"Mushrooms, puff pastry","Dairy, Wheat",Contains,original
Jalebi,Flour,Sugar,Ghee,Saffron syrup,"Dairy, Wheat",Contains,original
Butter Naan,Flour,,Butter,,"Dairy, Wheat",Contains,original
Lemon Bars,Lemon juice,Sugar,Butter,"Flour, eggs","Dairy, Eggs, Wheat",Contains,original
Extra Large 5 Cheese,Extra Large Pizza,None,None,Whole pie.,Dairy,Contains,uber_eats
Extra Large 5 Cheese Slice,Extra Large Pizza,None,None,Slice.,Dairy,Contains,uber_eats
Grab and Go Cheese It,Snacks,None,None,3oz.,Dairy,Contains,uber_eats
Ruffles Cheddar and Sour Cream,Snacks,None,None,2.625oz.,Dairy,Contains,uber_eats
Combos Pretzel With Cheddar Cheese,Snacks,None,None,6.30oz.,Dairy,Contains,uber_eats
Hershey Almond King Size,Candy,None,None,,Tree Nuts,Contains,uber_eats
Hershey Bar Milk Chocolate King Size,Candy,None,None,,Dairy,Contains,uber_eats
M and M Peanut King Size,Candy,None,None,,Peanuts,Contains,uber_eats
Bon Appetit Cheese and Berry Danish,Pastries,None,None,Single.,Dairy,Contains,uber_eats
Bon Appetit Cheese Croissant,Pastries,None,None,Single.,Dairy,Contains,uber_eats
Bon Appetit Bluberry Cream Danish,Pastries,None,None,Single.,Dairy,Contains,uber_eats
Aw Shuckie Shuckie Now Smoothie,Smoothies,None,None,"Triple berry blend, blueberries, strawberries, raspberries, bananas, non- fat yogurt, carrots, and mango smoothies. Our fruity tasty smoothies are blended to perfection.",Dairy,Contains,uber_eats
J’ Taste Bud Factor Smoothie,Smoothies,None,None,"Strawberries, bananas, peaches, apples, coconut water, and grape smoothies. Our fruity tasty smoothies are blended to perfection.",Coconut,Contains,uber_eats
Groovy Louie Smoothie,Smoothies,None,None,"Mango, taro, coconut milk, pineapple juice or lime. Our fruity tasty smoothies are blended to perfection.","Coconut, Dairy",Contains,uber_eats
Taste on Da Tongue Smoothie,Smoothies,None,None,"Pineapples, orange, peaches, and coconut water. Our fruity tasty smoothies are blended to perfection.",Coconut,Contains,uber_eats
Tereze Latte,Latte,None,None,"Creamy espresso, steamed milk, and light froth. Made from fresh whole bean coffee made with espresso and hot steamed milk.",Dairy,Contains,uber_eats
Tiese Mocha Latte,Latte,None,None,"Cocoa, chocolate, espresso, steamed milk, and whipped cream. Made from fresh whole bean coffee made with espresso and hot steamed milk.",Dairy,Contains,uber_eats
Matcha Green Tea Latte,Latte,None,None,Almond breeze vanilla unsweetened almond milk. Made from fresh whole bean coffee made with espresso and hot steamed milk.,"Dairy, Tree Nuts",Contains,uber_eats
Toffee Nut or Butter Pecan Latte,Latte,None,None,"Butter pecan, caramel sauce, espresso, steamed milk, and whipped cream. Made from fresh whole bean coffee made with espresso and hot steamed milk.","Dairy, Tree Nuts",Contains,uber_eats
Caramel Jtizpuccino,Jtizpuccino,None,None,"Coffee, sweetened condense milk, cream, caramel sauce, and whip cream.",Dairy,Contains,uber_eats
Java Chip Jtizpuccino,Jtizpuccino,None,None,"Coffee, chocolate syrup, sweetened condense milk, cream, chocolate chips, and whip cream.",Dairy,Contains,uber_eats
Cotton Candy Jtizpuccino,Jtizpuccino,None,None,"Vanilla syrup, raspberry syrup, milk, whip cream, and vanilla ice cream.",Dairy,Contains,uber_eats
Boba Milk Tea Flavors,Teas,None,None,,Dairy,Contains,uber_eats
Fruit N Yogurt Parfait,Desserts,None,None,,Dairy,Contains,uber_eats
Waffles,Breakfast (All-Day),None,None,"Traditional or belgian waffle. Add a topping (strawberries, chocolate chips, or whipped cream).",Dairy,Contains,uber_eats
Chicken Waffle Sandwich,Breakfast (All-Day),None,None,"Pulled chicken, jalapeno, shredded cabbage, shredded carrot, maple syrup apple cider vinegar, and mayo.",Wheat,Contains,uber_eats
Stuffed Waffle Biscuits,Breakfast (All-Day),None,None,"Your Choose your size of meats are sausage or ham or bacon or eggs, turkey (two meats with cheese).",Dairy,Contains,uber_eats
Bacon with Eggs & Cheese,Breakfast (All-Day),None,None,,Dairy,Contains,uber_eats
Breakfast Plate,Breakfast (All-Day),None,None,"Grits, eggs, bacon or sausage with toast.",Corn,Contains,uber_eats
Sausage & Egg with Cheese Sandwich,Breakfast (All-Day),None,None,,"Dairy, Eggs, Wheat",Contains,uber_eats
Bacon Egg & Cheese Sandwich,Breakfast (All-Day),None,None,,"Dairy, Eggs, Wheat",Contains,uber_eats
Kings Hawaiian,Lunch,None,None,"Kaiser roll, turkey, ham, and monterey Jack cheese (French chili). Take a,oad off and relax sip-n-snack at J'ti'z.",Dairy,Contains,uber_eats
Cuban,Lunch,None,None,"Cuban bread, roast pork, ham, swiss, and slice pickle (honey mustard). Take a,oad off and relax sip-n-snack at J'ti'z.","Mustard, Wheat",Contains,uber_eats
Italian,Lunch,None,None,"Tomato basil focaccia, salami, ham, and cheese provolone (feta dressing). Take a,oad off and relax sip-n-snack at J'ti'z.",Dairy,Contains,uber_eats
Tuna Wrap,Lunch,None,None,"Tuna and tomato. Take a,oad off and relax sip-n-snack at J'ti'z.",Fish,Contains,uber_eats
Waffle Pizza,Lunch,None,None,"Pepperoni, ham, cheese, onions, and green peppers. Take a,oad off and relax sip-n-snack at J'ti'z.",Dairy,Contains,uber_eats
Ti'z Tuna Crunch Sandwich,Tuna Sandwiches,None,None,,"Fish, Wheat",Contains,uber_eats
J' Ti'z Tuna Melt (Wrap),Tuna Sandwiches,None,None,,Fish,Contains,uber_eats
Sho Nuff Kicken Tuna Sandwich,Tuna Sandwiches,None,None,,"Fish, Wheat",Contains,uber_eats
"Avocado Tuna Sandwich with,ime",Tuna Sandwiches,None,None,,"Fish, Wheat",Contains,uber_eats
Tuna Salad,Salads,None,None,Tuna salad and crackers (one scoop). Grab a freshly made salad.,Fish,Contains,uber_eats
Chicken Bacon Ranch Cheesesteak,Picked for you,None,None,"Chicken sandwich with bacon, ranch, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Philadelphia Cheesesteak,Picked for you,None,None,Steak sandwich with your choice of cheese.,"Dairy, Wheat",Contains,uber_eats
Cheesesteak Hoagie,Picked for you,None,None,"Steak sandwich with lettuce, tomato, onion, and your choice of cheese.","Dairy, Onion, Wheat",Contains,uber_eats
Buffalo Chicken Cheesesteak,Picked for you,None,None,"Chicken sandwich with buffalo sauce, grilled onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
BBQ Chicken Cheesesteak,Picked for you,None,None,"Chicken sandwich with BBQ sauce, fried onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Philadelphia Cheesesteak,Philly Fresh Cheesesteaks,None,None,Steak sandwich with your choice of cheese.,"Dairy, Wheat",Contains,uber_eats
Classic Cheesesteak,Philly Fresh Cheesesteaks,None,None,Steak sandwich with grilled onions and your choice of cheese.,"Dairy, Wheat",Contains,uber_eats
Roasted Pepper Cheesesteak,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with grilled onions, bell peppers, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Mushroom Cheesesteak,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with mushrooms, grilled onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Loaded Cheesesteak,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with grilled onions, bell peppers, mushrooms, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Buffalo Cheesesteak,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with buffalo sauce, grilled onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
BBQ Cheesesteak,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with BBQ sauce, fried onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Bacon Ranch Cheesesteak,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with bacon, ranch, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Cheesesteak Hoagie,Philly Fresh Cheesesteaks,None,None,"Steak sandwich with lettuce, tomato, onion, and your choice of cheese.","Dairy, Onion, Wheat",Contains,uber_eats
Chicken Cheesesteak,Philly Fresh Chicken Cheesesteaks,None,None,Chicken sandwich with grilled onions and your choice of cheese.,"Dairy, Wheat",Contains,uber_eats
Chicken Bacon Ranch Cheesesteak,Philly Fresh Chicken Cheesesteaks,None,None,"Chicken sandwich with bacon, ranch, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
BBQ Chicken Cheesesteak,Philly Fresh Chicken Cheesesteaks,None,None,"Chicken sandwich with BBQ sauce, fried onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Buffalo Chicken Cheesesteak,Philly Fresh Chicken Cheesesteaks,None,None,"Chicken sandwich with buffalo sauce, grilled onions, and your choice of cheese.","Dairy, Wheat",Contains,uber_eats
Cheese Fries,Philly Fresh Sides,None,None,Crispy fries served with melted cheese.,Dairy,Contains,uber_eats
Onion Rings,Philly Fresh Sides,None,None,Crispy onion rings.,Onion,Contains,uber_eats
Chicken Bacon Artichoke - Keto Friendly (Baking Required),New! Crustless Pizzas - Keto Friendly (Baking Required),None,None,"Creamy Garlic Sauce, Whole-Milk Mozzarella, Grilled Chicken Raised Without Antibiotics, Crispy Bacon, Marinated Artichoke Hearts, Fresh Spinach, Aged Parmesan and Zesty Herbs without the Crust. This recipe is Keto-friendly, but still fully customizable. Macros for this entire tray with the default build are Fats: 89g, Proteins: 91g, Carbs: 21g","Dairy, Garlic",Contains,uber_eats
Cowboy - Keto Friendly (Baking Required),New! Crustless Pizzas - Keto Friendly (Baking Required),None,None,"Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Italian Sausage, Sliced Mushrooms, Black Olives, Cheddar, and Herb &amp; Cheese Blend without the Crust. 

To make this Keto-friendly, simply change the Traditional Red Sauce to Creamy Garlic Sauce or Olive Oil &amp; Garlic Sauce. Macros for this entire tray with the default build are Fats: 100g, Proteins: 75g, Carbs: 28g","Dairy, Garlic",Contains,uber_eats
Gourmet Vegetarian - Keto Friendly (Baking Required),New! Crustless Pizzas - Keto Friendly (Baking Required),None,None,"Creamy Garlic Sauce, Whole-Milk Mozzarella, Fresh Spinach, Sliced Zucchini, Sliced Mushrooms, Marinated Artichoke Hearts, Roma Tomatoes, Mixed Onions, Cheddar, and Herb &amp; Cheese Blend. This recipe is Keto-friendly, but still fully customizable. Macros for this entire tray with the default build are Fats: 79g, Proteins: 57g, Carbs: 23g","Dairy, Garlic",Contains,uber_eats
Papa's All Meat - Keto Friendly (Baking Required),New! Crustless Pizzas - Keto Friendly (Baking Required),None,None,"Traditional Red Sauce, Whole-Milk Mozzarella, Canadian Bacon, Salami, Premium Pepperoni, Italian Sausage and Ground Beef, and Cheddar. 

To make this Keto-friendly, simply change the Traditional Red Sauce to Creamy Garlic Sauce or Olive Oil &amp; Garlic Sauce. Macros for this entire tray with the default build are Fats: 108g, Proteins: 88g, Carbs: 25g","Dairy, Garlic",Contains,uber_eats
Papa's Favorite - Keto Friendly (Baking Required),New! Crustless Pizzas - Keto Friendly (Baking Required),None,None,"Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Italian Sausage, Ground Beef, Sliced Mushrooms, Mixed Onions, Green Peppers, Black Olives, and Cheddar. To make this Keto-friendly, simply change the Traditional Red Sauce to Creamy Garlic Sauce or Olive Oil &amp; Garlic Sauce. Macros for this entire tray with the default build are Fats: 104g, Proteins: 77g, Carbs: 33g","Dairy, Garlic",Contains,uber_eats
Cowboy (Baking Required),Signature Pizza (Baking Required),None,None,"Our Original Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Italian Sausage, Sliced Mushrooms, Black Olives, Cheddar, and Herb &amp; Cheese Blend. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Papa's Favorite® (Baking Required),Signature Pizza (Baking Required),None,None,"Our Original Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Premium Pepperoni, Italian Sausage, Ground Beef, Sliced Mushrooms, Mixed Onions, Green Peppers, Black Olives, and Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Murphy's Combo (Baking Required),Signature Pizza (Baking Required),None,None,"Our Original Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Salami, Premium Pepperoni, Italian Sausage, Sliced Mushrooms, Mixed Onions and Black Olives, and Cheddar. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.",Dairy,Contains,uber_eats
Chicken Garlic (Baking Required),Signature Pizza (Baking Required),None,None,"Our Original Crust topped with Creamy Garlic Sauce, Whole-Milk Mozzarella, Grilled Chicken Raised Without Antibiotics, Roma Tomatoes, Green Onions, Cheddar, and Herb &amp; Cheese Blend. OUR PIZZA. YOUR OVEN. NOT AS CRAZY AS IT SOUNDS.","Dairy, Garlic",Contains,uber_eats
